MatchID,Defending Result,Defending Team,Chasing Team,Defending Stadium,Time,Defending Toss,Bat2 Strength,Bowl2 Strength,First Inn Score,First Inn Median,Second Inn Median,Ground Altitude,Ground Length,Ground Width
1,1,KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,AWAY,Day/Night,LOST,26972.99344,3941.937389,161,157.2,144.4,10,137.88,149.17
2,1,MUMBAI INDIANS,RAJASTHAN ROYALS,HOME,Day,WON,19653.90794,4158.073371,212,154,146.5,2,143.07,136.88
3,0,PUNJAB KINGS,DELHI CAPITALS,HOME,Day/Night,LOST,25805.84621,3787.34946,142,178,169,318,137.16,137.16
4,0,ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,AWAY,Day,LOST,26328.5345,3004.479992,135,137,124,5,135,135
5,1,DECCAN CHARGERS,CHENNAI SUPER KINGS,AWAY,Day/Night,WON,29912.55031,3722.347364,190,169,163,5,131.66,137.16
6,0,RAJASTHAN ROYALS,DELHI CAPITALS,HOME,Day/Night,LOST,26509.99749,3949.025884,141,154,146.5,54,164.592,137.16
7,0,PUNJAB KINGS,ROYAL CHALLENGERS BANGALORE,AWAY,Day,WON,23730.17886,3831.234885,203,154,138,917,118.872,107.8992
8,1,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,AWAY,Day/Night,WON,29400.51928,3739.916871,164,136,130,5,135,135
9,1,MUMBAI INDIANS,DELHI CAPITALS,AWAY,Day/Night,LOST,27090.45351,4012.63767,218,181.5,180,208,136,130
10,0,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,AWAY,Day/Night,LOST,25578.02633,2997.957556,92,155,145.5,917,118.872,107.8992
11,0,DELHI CAPITALS,CHENNAI SUPER KINGS,HOME,Day,WON,27571.19777,3554.228655,185,187,179,208,136,130
12,1,DECCAN CHARGERS,PUNJAB KINGS,HOME,Day/Night,LOST,28281.54749,3786.366337,170,155,146,26,148.23,144.72
13,1,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,HOME,Day,WON,24985.01671,2770.229041,168,153,145.2,54,164.592,137.16
14,0,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,WON,25964.39053,4198.605358,151,167.2,158.4,2,143.07,136.88
15,1,DECCAN CHARGERS,DELHI CAPITALS,HOME,Day,WON,23912.43593,4484.379659,171,158.8,149.6,26,148.23,144.72
16,1,PUNJAB KINGS,CHENNAI SUPER KINGS,AWAY,Day/Night,LOST,28085.00524,3433.89505,136,175,161,5,131.66,137.16
17,0,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,AWAY,Day/Night,WON,25598.68243,2638.255417,155,166.2,160.2,2,143.07,136.88
18,1,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,HOME,Day/Night,LOST,26425.44603,2924.48551,171,154,138,917,118.872,107.8992
